Blackbox_Sentinel/ml/traffic.csvtimestamp,packets_per_sec,avg_packet_size,max_packet_size,min_packet_size,tcp_count,udp_count,icmp_count,unique_src_ips,unique_dst_ips,syn_count,ack_count,fin_count,rst_count,psh_count,urg_count,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,urg_ratio
2026-08-04T00:01:58.689981,22,444.82,1296,56,4,17,0,4,6,1,3,0,0,2,0,0.25,0.75,0.0,0.0,0.5,0.0
2026-08-04T00:02:00.704146,35,355.31,1296,56,4,29,0,6,5,0,4,0,0,2,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:02:02.798954,8,71.25,178,56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:04.846886,21,83.52,350,42,4,2,0,4,4,0,4,0,0,2,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:02:06.889734,11,57.55,72,42,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:08.907011,9,90.67,212,56,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:10.938025,284,956.23,1292,56,0,278,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:12.946256,9,238.44,508,56,0,7,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:14.998225,270,989.71,1292,56,6,262,0,4,4,0,6,0,0,4,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:02:17.010649,13,122.38,601,54,8,0,0,2,2,0,8,0,0,4,0,0.0,1.0,0.0,0.0,0.5,0.0
2026-08-04T00:02:19.080450,12,87.33,176,56,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:21.099834,6,100.67,178,56,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:23.110602,43,1037.6,1292,56,0,41,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:25.131793,229,1020.31,1292,56,0,227,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:27.151701,6,285.33,718,56,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:29.164148,6,299.33,718,56,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:31.285333,14,223.29,718,42,3,9,0,6,4,0,3,0,0,2,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:02:33.319837,48,985.94,1292,56,0,46,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:35.365551,10,70.2,86,56,6,1,0,3,3,0,6,0,0,4,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:02:37.388977,315,926.91,16460,54,27,284,0,7,7,0,27,0,0,14,0,0.0,1.0,0.0,0.0,0.5185,0.0
2026-08-04T00:02:39.398624,2,56.0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:41.414430,7,91.14,154,54,3,2,0,3,3,0,3,0,0,1,0,0.0,1.0,0.0,0.0,0.3333,0.0
2026-08-04T00:02:43.511503,39,492.9,10411,54,16,20,0,6,6,0,16,0,0,7,0,0.0,1.0,0.0,0.0,0.4375,0.0
2026-08-04T00:02:45.526088,29,485.72,10411,54,18,8,0,5,6,0,18,0,0,6,0,0.0,1.0,0.0,0.0,0.3333,0.0
2026-08-04T00:02:47.536369,8,104.0,229,54,3,2,0,3,3,0,3,0,0,2,0,0.0,1.0,0.0,0.0,0.6667,0.0
2026-08-04T00:02:49.594536,4,83.75,167,56,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:51.646238,45,438.36,1296,56,0,43,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:02:53.679332,57,750.63,2922,54,7,46,0,7,7,0,7,0,0,4,0,0.0,1.0,0.0,0.0,0.5714,0.0
2026-08-04T00:03:42.616737,23,139.3,591,42,0,11,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-04T00:03:44.735029,1085,729.84,2882,42,23,1056,0,14,14,2,22,2,0,8,0,0.087,0.9565,0.087,0.0,0.3478,0.0
2026-08-04T00:03:46.855408,743,670.23,2978,54,18,723,0,21,21,3,16,0,0,5,0,0.1667,0.8889,0.0,0.0,0.2778,0.0
2026-08-04T00:03:48.966242,613,765.38,2882,54,26,585,0,13,13,4,24,0,0,10,0,0.1538,0.9231,0.0,0.0,0.3846,0.0
2026-08-04T00:03:51.081032,761,712.38,2978,54,56,703,0,19,19,2,55,0,0,31,0,0.0357,0.9821,0.0,0.0,0.5536,0.0
2026-08-04T00:03:53.169584,457,611.85,2974,54,41,411,0,20,19,6,38,0,0,20,0,0.1463,0.9268,0.0,0.0,0.4878,0.0
2026-08-04T00:03:55.252019,500,783.15,1296,56,6,485,0,13,12,0,6,0,0,4,0,0.0,1.0,0.0,0.0,0.6667,0.0
